,week_start_date,reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,station_min_temp_c,total_cases
2006-12-25/2006-12-31,2006-12-24,15.9171428571,294.551428571,25.9285714286,22.2,13.0
2007-01-01/2007-01-07,2007-01-01,15.5957142857,294.232857143,25.3571428571,21.7,10.0
2007-01-08/2007-01-14,2007-01-08,15.1157142857,293.76,25.0857142857,21.1,8.0
2007-01-15/2007-01-21,2007-01-15,15.3685714286,294.015714286,24.9714285714,20.6,21.0
2007-01-22/2007-01-28,2007-01-22,14.6142857143,293.214285714,25.0,21.1,11.0
2007-01-29/2007-02-04,2007-01-29,14.1628571429,292.697142857,25.0857142857,20.6,9.0
2007-02-05/2007-02-11,2007-02-05,15.1028571429,293.738571429,25.6,21.1,14.0
2007-02-12/2007-02-18,2007-02-12,15.1842857143,293.827142857,26.1571428571,21.1,14.0
2007-02-19/2007-02-25,2007-02-19,15.0914285714,293.69,26.4142857143,21.7,15.0
2007-02-26/2007-03-04,2007-02-26,15.5614285714,294.204285714,25.6285714286,21.1,18.0
2007-03-05/2007-03-11,2007-03-05,15.6971428571,294.328571429,26.5571428571,22.2,16.0
2007-03-12/2007-03-18,2007-03-12,15.3828571429,294.02,26.7142857143,21.7,12.0
2007-03-19/2007-03-25,2007-03-19,15.1671428571,293.77,26.8571428571,22.2,20.0
2007-03-26/2007-04-01,2007-03-26,15.7414285714,294.375714286,27.1285714286,22.8,8.0
2007-04-02/2007-04-08,2007-04-02,14.7728571429,293.27,25.6,21.7,3.0
2007-04-09/2007-04-15,2007-04-09,14.9085714286,293.384285714,26.3857142857,20.6,13.0
2007-04-16/2007-04-22,2007-04-16,15.8542857143,294.507142857,27.7285714286,22.8,4.0
2007-04-23/2007-04-29,2007-04-23,16.9071428571,295.491428571,26.8714285714,21.7,1.0
2007-04-30/2007-05-06,2007-04-30,16.8171428571,295.468571429,26.2142857143,22.2,10.0
2007-05-07/2007-05-13,2007-05-07,16.9471428571,295.54,27.3285714286,23.3,8.0
2007-05-14/2007-05-20,2007-05-14,17.6085714286,296.175714286,29.0,24.4,13.0
2007-05-21/2007-05-27,2007-05-21,17.0057142857,295.614285714,28.7571428571,23.9,10.0
2007-05-28/2007-06-03,2007-05-28,17.2571428571,295.85,28.4571428571,23.9,21.0
2007-06-04/2007-06-10,2007-06-04,17.5071428571,296.107142857,29.2,23.3,18.0
2007-06-11/2007-06-17,2007-06-11,17.37,295.975714286,28.5428571429,23.9,21.0
2007-06-18/2007-06-24,2007-06-18,17.4885714286,296.085714286,29.0142857143,24.4,34.0
2007-06-25/2007-07-01,2007-06-25,17.9471428571,296.54,29.2714285714,25.0,25.0
2007-07-02/2007-07-08,2007-07-02,17.5128571429,296.155714286,28.8428571429,24.4,34.0
2007-07-09/2007-07-15,2007-07-09,17.5614285714,296.177142857,28.8714285714,24.4,33.0
2007-07-16/2007-07-22,2007-07-16,17.5057142857,296.132857143,28.5714285714,24.4,40.0
2007-07-23/2007-07-29,2007-07-23,18.3514285714,296.872857143,28.5714285714,25.0,42.0
2007-07-30/2007-08-05,2007-07-30,17.4671428571,296.062857143,28.6285714286,24.4,36.0
2007-08-06/2007-08-12,2007-08-06,18.4071428571,296.915714286,28.6142857143,24.4,72.0
2007-08-13/2007-08-19,2007-08-13,18.4114285714,296.922857143,28.3857142857,23.3,75.0
2007-08-20/2007-08-26,2007-08-20,18.3057142857,296.801428571,28.4571428571,23.9,76.0
2007-08-27/2007-09-02,2007-08-27,18.0,296.532857143,28.3857142857,23.9,92.0
2007-09-03/2007-09-09,2007-09-03,17.87,296.445714286,28.3142857143,23.9,71.0
2007-09-10/2007-09-16,2007-09-10,17.72,296.288571429,28.8714285714,25.0,112.0
2007-09-17/2007-09-23,2007-09-17,18.0371428571,296.561428571,28.3,24.4,106.0
2007-09-24/2007-09-30,2007-09-24,17.9814285714,296.51,28.1714285714,24.4,101.0
2007-10-01/2007-10-07,2007-10-01,18.1185714286,296.642857143,27.9857142857,22.2,170.0
2007-10-08/2007-10-14,2007-10-08,18.3757142857,296.835714286,28.1285714286,23.9,135.0
2007-10-15/2007-10-21,2007-10-15,17.8457142857,296.354285714,29.1,24.4,106.0
2007-10-22/2007-10-28,2007-10-22,17.2757142857,295.874285714,27.9571428571,24.4,68.0
2007-10-29/2007-11-04,2007-10-29,17.5028571429,296.02,26.2,22.2,48.0
2007-11-05/2007-11-11,2007-11-05,17.2957142857,295.838571429,27.4428571429,22.8,48.0
2007-11-12/2007-11-18,2007-11-12,17.0828571429,295.638571429,26.8142857143,22.8,26.0
2007-11-19/2007-11-25,2007-11-19,17.1871428571,295.752857143,26.9,22.8,33.0
2007-11-26/2007-12-02,2007-11-26,14.7685714286,293.351428571,25.4428571429,22.2,29.0
2007-12-03/2007-12-09,2007-12-03,15.6757142857,294.288571429,25.8428571429,22.8,17.0
2007-12-10/2007-12-16,2007-12-10,16.13,294.774285714,25.7714285714,22.2,12.0
2007-12-17/2007-12-23,2007-12-17,16.3442857143,294.977142857,25.0714285714,21.7,13.0
2007-12-24/2007-12-30,2007-12-24,15.3185714286,293.928571429,25.0857142857,21.1,17.0
2007-12-31/2008-01-06,2008-01-01,14.9114285714,293.514285714,25.4,22.2,15.0
2008-01-07/2008-01-13,2008-01-08,14.98,293.595714286,24.9714285714,21.1,14.0
2008-01-14/2008-01-20,2008-01-15,14.4885714286,293.02,24.4285714286,20.6,15.0
2008-01-21/2008-01-27,2008-01-22,15.0657142857,293.635714286,24.5285714286,21.1,10.0
2008-01-28/2008-02-03,2008-01-29,14.4085714286,292.957142857,24.5714285714,20.0,9.0
2008-02-04/2008-02-10,2008-02-05,13.2257142857,291.537142857,24.2142857143,21.1,2.0
2008-02-11/2008-02-17,2008-02-12,14.3671428571,292.941428571,24.8,21.1,6.0
2008-02-18/2008-02-24,2008-02-19,14.5385714286,293.134285714,24.9,21.7,8.0
2008-02-25/2008-03-02,2008-02-26,13.9671428571,292.502857143,24.7428571429,21.1,5.0
2008-03-03/2008-03-09,2008-03-04,14.4742857143,293.052857143,25.1142857143,21.1,1.0
2008-03-10/2008-03-16,2008-03-11,13.7214285714,292.197142857,25.3285714286,22.2,2.0
2008-03-17/2008-03-23,2008-03-18,13.7371428571,292.205714286,25.2,20.6,3.0
2008-03-24/2008-03-30,2008-03-25,13.6442857143,292.095714286,25.0428571429,21.1,4.0
2008-03-31/2008-04-06,2008-04-01,14.6628571429,293.235714286,26.2428571429,22.2,3.0
2008-04-07/2008-04-13,2008-04-08,14.1842857143,292.732857143,25.0,21.7,1.0
2008-04-14/2008-04-20,2008-04-15,13.8585714286,292.274285714,25.3142857143,21.7,3.0
2008-04-21/2008-04-27,2008-04-22,15.6714285714,294.28,27.0428571429,23.3,5.0
